Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
NXT Level Ice Coffee Flavor Protein Shake 330 ml,"€2,27",JA,"7,5g","3,9g","0,1g",201kJ 48kcal,https://www.jumbo.com/producten/nxt-level-ice-coffee-flavor-protein-shake-330-ml-457928FLS,2025-12-09 16:03:03
NXT Level Protein Shake Vanilla Flavor 330 ml,"€2,27",JA,"7,6g","3,9g","0,1g",202kJ 48kcal,https://www.jumbo.com/producten/nxt-level-protein-shake-vanilla-flavor-330-ml-458003FLS,2025-12-09 16:03:05
Melkunie Protein Chocolate Flavoured Shake 250 ml,"€1,69",JA,8.1 g,6.3 g,1.2 g,280 kJ 73 kcal,https://www.jumbo.com/producten/melkunie-protein-chocolate-flavoured-shake-250-ml-406774FLS,2025-12-09 16:03:08
Melkunie Protein Raspberry & Strawberry Flavoured Shake 225 ml,"€1,69",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-raspberry-strawberry-flavoured-shake-225-ml-192505PAK,2025-12-09 16:03:10
HiPRO Protein Drink Mango 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-mango-300-ml-494984FLS,2025-12-09 16:03:13
HiPRO Protein Drink Perzik Passievrucht 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-perzik-passievrucht-300-ml-547423FLS,2025-12-09 16:03:16
HiPRO Protein Drink Banaan 300 ml,"€2,49",JA,8.3 g,5.6 g,0.5 g,253.0 kJ,https://www.jumbo.com/producten/hipro-protein-drink-banaan-300-ml-607868FLS,2025-12-09 16:03:18
HiPRO Protein Drink Bosbes 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-bosbes-300-ml-585526FLS,2025-12-09 16:03:21
HiPRO Protein Drink Vanille Cookies 300 ml,"€2,49",JA,8.3 g,5.5 g,0.5 g,252.0 kJ,https://www.jumbo.com/producten/hipro-protein-drink-vanille-cookies-300-ml-433887FLS,2025-12-09 16:03:24
"Jumbo Smoothie Mix Proteïne Banaan, Mango, Drakenfruit & Erwteneiwit 250 g","€2,49",JA,4.0 g,14.9 g,0.7 g,361.0 kJ,https://www.jumbo.com/producten/jumbo-smoothie-mix-proteine-banaan-mango-drakenfruit-erwteneiwit-250-g-698541STK,2025-12-09 16:03:26
"Jumbo Smoothie Mix Proteïne Mango, Banaan, Spinazie & Erwteneiwit 250 g","€2,49",JA,4.1 g,13.9 g,0.56 g,340.0 kJ,https://www.jumbo.com/producten/jumbo-smoothie-mix-proteine-mango-banaan-spinazie-erwteneiwit-250-g-698504STK,2025-12-09 16:03:29
Starbucks Caffè Latte Protein Drink with Coffee 330 ml,"€2,69",JA,6.1g,4.1g,1.1g,215kJ/51kcal,https://www.jumbo.com/producten/starbucks-caffe-latte-protein-drink-with-coffee-330-ml-680583FLS,2025-12-09 16:03:31
Zuivelhoeve XXL Nutrition Fit Drink Strawberry Flavor Protein Drink 330 ml,"€2,39",JA,10.0 g,3.5 g,0.8 g,255.0 kJ,https://www.jumbo.com/producten/zuivelhoeve-xxl-nutrition-fit-drink-strawberry-flavor-protein-drink-330-ml-707505FLS,2025-12-09 16:03:34
Zuivelhoeve XXL Nutrition Fit Drink Chocolate Flavor Protein Drink 330 ml,"€2,39",JA,10 g,3.5 g,0.8 g,261 kJ / 62 kcal,https://www.jumbo.com/producten/zuivelhoeve-xxl-nutrition-fit-drink-chocolate-flavor-protein-drink-330-ml-707509ZK,2025-12-09 16:03:37
HiPRO Protein Drink Stracciatella 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-stracciatella-300-ml-547424FLS,2025-12-09 16:03:40
HiPRO Protein Drink Kokos 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-kokos-300-ml-613297FLS,2025-12-09 16:03:42
CoolBest Protein Drink Strawberry 330ml,"€1,99",JA,6.2 g,7.0 g,0.0 g,247.0 kJ,https://www.jumbo.com/producten/coolbest-protein-drink-strawberry-330ml-686186PAK,2025-12-09 16:03:45
HiPRO Protein Drink Mango 6 x 300 ml,"€14,94",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-mango-6-x-300-ml-494984DSL,2025-12-09 16:03:47
CoolBest Protein Drink Mango 330ml,"€1,99",JA,6.2 g,7.4 g,0.0 g,256.0 kJ,https://www.jumbo.com/producten/coolbest-protein-drink-mango-330ml-686188PAK,2025-12-09 16:03:50
CoolBest Protein Drink Passionfruit 330ml,"€1,99",JA,6.2 g,7.0 g,0.0 g,253.0 kJ,https://www.jumbo.com/producten/coolbest-protein-drink-passionfruit-330ml-686196PAK,2025-12-09 16:03:52
Melkunie Protein Strawberry Vanilla Yogurt Drink 330 ml,"€1,99",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-strawberry-vanilla-yogurt-drink-330-ml-521731FLS,2025-12-09 16:03:55
Melkunie Protein Blueberry Yogurt Drink 330 ml,"€1,99",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-blueberry-yogurt-drink-330-ml-521732FLS,2025-12-09 16:03:58
XXL Crunchy Protein Bar Coconut 60g,"€2,49",JA,,,,,https://www.jumbo.com/producten/xxl-crunchy-protein-bar-coconut-60g-703385RP,2025-12-09 16:04:01
HiPRO Protein Bar Caramel 45 g,"€1,99",JA,,,,,https://www.jumbo.com/producten/hipro-protein-bar-caramel-45-g-671845STK,2025-12-09 16:04:03
Barebells Protein Bar White Chocolate Almond 55 g,"€2,90",JA,36 g,29 g,15 g,1518 kJ,https://www.jumbo.com/producten/barebells-protein-bar-white-chocolate-almond-55-g-305433PAK,2025-12-09 16:04:06
Barebells Soft Protein Bar Caramel Choco 55 g,"€2,96",JA,28 g,31 g,17 g,1539 kJ,https://www.jumbo.com/producten/barebells-soft-protein-bar-caramel-choco-55-g-630476PAK,2025-12-09 16:04:09
Barebells Protein Bar Caramel Cashew 55 g,"€2,96",JA,36 g,30 g,15 g,1535 kJ,https://www.jumbo.com/producten/barebells-protein-bar-caramel-cashew-55-g-524344PAK,2025-12-09 16:04:11
Barebells Soft Protein Bar Salty Chocolate 55 g,"€2,99",JA,28 g,33 g,16 g,1508 kJ,https://www.jumbo.com/producten/barebells-soft-protein-bar-salty-chocolate-55-g-630477PAK,2025-12-09 16:04:14
Holie's Crunchy Bar Protein Chocolate Chip 3 x 2 Stuks 6 x 20 g,"€3,26",JA,22 g,23.4 g,31.5 g,2093 kJ,https://www.jumbo.com/producten/holie-s-crunchy-bar-protein-chocolate-chip-3-x-2-stuks-6-x-20-g-674168DS,2025-12-09 16:04:16
LiGA  Proteïne Reep Pinda (5 x 32g) 160g,"€3,59",JA,15.00 g,50.00 g,24.00 g,1974 kJ,https://www.jumbo.com/producten/liga-proteine-reep-pinda-5-x-32g-160g-446637DS,2025-12-09 16:04:19
Barebells Protein Bar Salty Peanut 55 g,"€2,90",JA,37 g,27 g,15 g,1543 kJ,https://www.jumbo.com/producten/barebells-protein-bar-salty-peanut-55-g-305432ZK,2025-12-09 16:04:22
Killerbody 3-pack Protein Bars Cookies & Cream 120g,"€4,59",JA,32.0 g,36.0 g,17.0 g,1577.0 kJ,https://www.jumbo.com/producten/killerbody-3-pack-protein-bars-cookies-cream-120g-605231DS,2025-12-09 16:04:24
Barebells Protein Bar Cookies & Cream 55 g,"€2,90",JA,37 g,31 g,12 g,1475 kJ,https://www.jumbo.com/producten/barebells-protein-bar-cookies-cream-55-g-305431PAK,2025-12-09 16:04:27
XXL N'Joy Protein bar White choco/Blueberry 55g,"€2,49",JA,36.0 g,35.0 g,15.0 g,1586.0 kJ,https://www.jumbo.com/producten/xxl-n-joy-protein-bar-white-chocoblueberry-55g-703389RP,2025-12-09 16:04:29
XXL Nutrition N'Joy Protein bar Cookies & Cream 55g,"€2,49",JA,,,,,https://www.jumbo.com/producten/xxl-nutrition-n-joy-protein-bar-cookies-cream-55g-703388RP,2025-12-09 16:04:32
Barebells Protein Bar Hazelnut & Nougat 55 g,"€2,96",JA,36 g,29 g,16 g,1562 kJ,https://www.jumbo.com/producten/barebells-protein-bar-hazelnut-nougat-55-g-305434PAK,2025-12-09 16:04:34
Barebells Soft Protein Bar Marshmallow Rocky Road 55 g,"€2,86",JA,31 g,32 g,18 g,1587 kJ,https://www.jumbo.com/producten/barebells-soft-protein-bar-marshmallow-rocky-road-55-g-630475PAK,2025-12-09 16:04:37
Barebells Protein Bar Cookies & Cream 12 x 55 g,"€30,99",JA,37 g,31 g,12 g,1475 kJ,https://www.jumbo.com/producten/barebells-protein-bar-cookies-cream-12-x-55-g-305431DSL,2025-12-09 16:04:39
Barebells Soft Protein Bar Peanut Caramel 55 g,"€2,96",JA,29 g,29 g,20 g,1640 kJ,https://www.jumbo.com/producten/barebells-soft-protein-bar-peanut-caramel-55-g-630478PAK,2025-12-09 16:04:42
Barebells Protein Bar Creamy Crisp 55g,"€2,96",JA,35 g,29 g,14 g,1485 kJ,https://www.jumbo.com/producten/barebells-protein-bar-creamy-crisp-55g-677308PAK,2025-12-09 16:04:45
Holie's Crunchy Bar Protein Peanut Chocolate 3 x 2 Stuks 6 x 20 g,"€3,26",JA,22 g,23.3 g,26.3 g,1921 kJ,https://www.jumbo.com/producten/holie-s-crunchy-bar-protein-peanut-chocolate-3-x-2-stuks-6-x-20-g-674217DS,2025-12-09 16:04:47
Holie's Crunchy Bar Protein Peanut 6 x 20g,"€3,26",JA,23.0 g,18.0 g,29.0 g,1960.0 kJ,https://www.jumbo.com/producten/holie-s-crunchy-bar-protein-peanut-6-x-20g-717655DS,2025-12-09 16:04:50
