Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
Holie's Crunchy Bar Protein Chocolate Chip 3 x 2 Stuks 6 x 20 g,"€3,26",JA,22 g,23.4 g,31.5 g,2093 kJ,https://www.jumbo.com/producten/holie-s-crunchy-bar-protein-chocolate-chip-3-x-2-stuks-6-x-20-g-674168DS,2025-12-09 15:41:23
Barebells Protein Bar Salty Peanut 55 g,"€2,90",JA,37 g,27 g,15 g,1543 kJ,https://www.jumbo.com/producten/barebells-protein-bar-salty-peanut-55-g-305432ZK,2025-12-09 15:41:26
Killerbody 3-pack Protein Bars Cookies & Cream 120g,"€4,59",JA,32.0 g,36.0 g,17.0 g,1577.0 kJ,https://www.jumbo.com/producten/killerbody-3-pack-protein-bars-cookies-cream-120g-605231DS,2025-12-09 15:41:28
Barebells Protein Bar Cookies & Cream 55 g,"€2,90",JA,37 g,31 g,12 g,1475 kJ,https://www.jumbo.com/producten/barebells-protein-bar-cookies-cream-55-g-305431PAK,2025-12-09 15:41:31
XXL N'Joy Protein bar White choco/Blueberry 55g,"€2,49",JA,36.0 g,35.0 g,15.0 g,1586.0 kJ,https://www.jumbo.com/producten/xxl-n-joy-protein-bar-white-chocoblueberry-55g-703389RP,2025-12-09 15:41:34
XXL Nutrition N'Joy Protein bar Cookies & Cream 55g,"€2,49",JA,,,,,https://www.jumbo.com/producten/xxl-nutrition-n-joy-protein-bar-cookies-cream-55g-703388RP,2025-12-09 15:41:36
Barebells Protein Bar Hazelnut & Nougat 55 g,"€2,96",JA,36 g,29 g,16 g,1562 kJ,https://www.jumbo.com/producten/barebells-protein-bar-hazelnut-nougat-55-g-305434PAK,2025-12-09 15:41:39
Barebells Soft Protein Bar Marshmallow Rocky Road 55 g,"€2,86",JA,31 g,32 g,18 g,1587 kJ,https://www.jumbo.com/producten/barebells-soft-protein-bar-marshmallow-rocky-road-55-g-630475PAK,2025-12-09 15:41:41
Barebells Protein Bar Cookies & Cream 12 x 55 g,"€30,99",JA,37 g,31 g,12 g,1475 kJ,https://www.jumbo.com/producten/barebells-protein-bar-cookies-cream-12-x-55-g-305431DSL,2025-12-09 15:41:44
Barebells Soft Protein Bar Peanut Caramel 55 g,"€2,96",JA,29 g,29 g,20 g,1640 kJ,https://www.jumbo.com/producten/barebells-soft-protein-bar-peanut-caramel-55-g-630478PAK,2025-12-09 15:41:47
Barebells Protein Bar Creamy Crisp 55g,"€2,96",JA,35 g,29 g,14 g,1485 kJ,https://www.jumbo.com/producten/barebells-protein-bar-creamy-crisp-55g-677308PAK,2025-12-09 15:41:49
Holie's Crunchy Bar Protein Peanut Chocolate 3 x 2 Stuks 6 x 20 g,"€3,26",JA,22 g,23.3 g,26.3 g,1921 kJ,https://www.jumbo.com/producten/holie-s-crunchy-bar-protein-peanut-chocolate-3-x-2-stuks-6-x-20-g-674217DS,2025-12-09 15:41:52
Holie's Crunchy Bar Protein Peanut 6 x 20g,"€3,26",JA,23.0 g,18.0 g,29.0 g,1960.0 kJ,https://www.jumbo.com/producten/holie-s-crunchy-bar-protein-peanut-6-x-20g-717655DS,2025-12-09 15:41:54
Nature Valley Protein Peanut and Chocolate Reep 4 x 40 g,"€4,09",JA,,,,,https://www.jumbo.com/producten/nature-valley-protein-peanut-and-chocolate-reep-4-x-40-g-348220DS,2025-12-09 15:41:57
Nature Valley Protein Salted Caramel Nut Reep 4 x 40 g,"€4,09",JA,,,,,https://www.jumbo.com/producten/nature-valley-protein-salted-caramel-nut-reep-4-x-40-g-348221DS,2025-12-09 15:41:59
